Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Pakistan Global Rank
1955,40488030,1.52,589131,-1651,20.1,6.6,53,19.7,7968418,1.46,2773019936,14
1960,44988690,2.13,900132,-3340,20.1,6.6,58,22.1,9926658,1.48,3034949748,14
1965,50917975,2.51,1185857,-18654,19.9,6.6,66,23.5,11954323,1.52,3339583597,14
1970,58142060,2.69,1444817,-41996,19.3,6.6,75,24.8,14416426,1.57,3700437046,10
1975,66816877,2.82,1734963,-27621,18.6,6.6,87,26.3,17592808,1.64,4079480606,10
1980,78054343,3.16,2247493,134441,18.5,6.6,101,28.1,21910455,1.75,4458003514,10
1985,92191510,3.39,2827433,277424,18.6,6.44,120,29.4,27060895,1.89,4870921740,8
1990,107647921,3.15,3091282,27958,18.5,6.3,140,30.6,32923693,2.02,5327231061,8
1995,123776839,2.83,3225784,-204677,18.4,5.96,161,31.6,39104110,2.15,5744212979,8
2000,142343578,2.83,3713348,94182,18.8,5.37,185,32.1,45687389,2.32,6143493823,7
2005,160304008,2.41,3592086,-130036,19.6,4.71,208,32.6,52301807,2.45,6541907027,6
2010,179424641,2.28,3824127,-67961,20.7,4.17,233,33.3,59691513,2.58,6956823603,6
2015,199426964,2.14,4000465,-215833,21.8,3.78,259,34.2,68226783,2.7,7379797139,6
2016,203631353,2.11,4204389,-233379,22,3.73,264,34.4,70005271,2.73,7464022049,6
2017,207906209,2.1,4274856,-233379,22,3.73,270,34.5,71795700,2.75,7547858925,5
2018,212228286,2.08,4322077,-233379,22,3.73,275,34.7,73630430,2.78,7631091040,5
2019,216565318,2.04,4337032,-233379,22,3.73,281,34.9,75510639,2.81,7713468100,5
2020,220892340,2,4327022,-233379,22.8,3.55,287,35.1,77437729,2.83,7794798739,5
